date,user,tweet
2022-12-10 06:17:37+00:00,aditya_pagadala,@InvestRepeat India should discourage cash withdrawal too by making it costly after certain amount and keeping UPI/cbdc and other digital format free/cheap. Should come up with more protection from cybercrime and transactions failures
2022-12-10 06:08:34+00:00,crowdbullish,"$BTC VS $ETH ⚡️
Bitcoin is the original cryptocurrency, and it is intended to be used as a digital currency for making transactions. Ethereum, on the other hand, is a more versatile blockchain platform that allows developers to build and deploy decentralized applications."
2022-12-10 06:01:34+00:00,DigitalMoneyBo1,"Russia’s Interior Ministry Employs Tool to Identify Crypto Wallet Owners, Track Transactions. Via Bi... - https://t.co/mChOu9u7AL #CryptocurrencyNews #cryptocurrency #Crypto #CryptoNews"
2022-12-10 06:00:44+00:00,bissettfinfit,"Tune in to EP047 to hear my adventures with crypto: 5 Lessons Learned with Digital Wallets and Buy Transactions here https://t.co/sIJWOcBEEC

#BTC #ETH #BRD #Coinbase #FinLit #FinFit #Blockchain #Crypto #YoungMoney #FinTwit https://t.co/Rh8SeVLnym"
2022-12-10 05:20:31+00:00,ourunstablemind,"and digital rupee is a payment of cash.

#DigitalIndia #DigitaRupee #UPI #wallet #cash #Bank #transactions #cashless #economy #workingclass #development #incometax #accounting #Blackmoney"
2022-12-10 05:15:45+00:00,Sethu69,@KartiPC @YouTube Your father's speech on digital transactions that it was not possible in a country like India where literacy and awareness is not that high whereas UPI has made inroads in the nooks and corners of the country and the adaptability of Indians to embrace the technology.
2022-12-10 05:15:28+00:00,ShintaVR,"The function of the #NFT marketplace is similar to any digital platform. The difference is that digital asset transactions happen in the blockchain system. NFT enthusiasts can use the platform with an exchange tool in the form of crypto. 

#SHINTAVR #metaverse #metaverseindonesia https://t.co/1E8yPGyHTU"
2022-12-10 05:00:33+00:00,CryptoSavedMe_,"Russia’s Interior Ministry Employs Tool to Identify Crypto Wallet Owners, Track Transactions - https://t.co/7EuTHPFB6K Russian Ministry of Internal Affairs is now using a digital tool allowing officers to link cryptocurrency wallets to their owners. The software also has a fea... https://t.co/fHzenmPJZM"
2022-12-10 04:51:38+00:00,AccountingToday,The European Union proposed new rules to combat #tax fraud and evasion in the crypto sector by requiring all digital asset service providers to report transactions involving customers residing in the bloc https://t.co/8XYuth9VmG
2022-12-10 04:48:36+00:00,telemachyo,"@vilifiedprophet This model would then be registered on a blockchain, a type of distributed database that allows for secure and verifiable transactions. This would create a unique, digital representation of the property that could be bought and sold like any other NFT."
2022-12-10 04:22:46+00:00,KatjaLoud,Government Restricts ATM Withdrawals to $45 Per Day in Bid to Force Digital Transactions ⋆ Flag And Cross https://t.co/McKFZNpUhG
2022-12-10 03:48:55+00:00,zeditip,"AI-Powered Digital Mobile Wallet Application❗️
In this digital age having complete control of the way, you make your 💱transactions is vital. 🤩
ONPASSIVE brings you O-Wallet, an exclusive digital mobile wallet.
https://t.co/l6cXvzke0M

#ONPASSIVE #OWallet #earn... https://t.co/tAVQDKvChH"
2022-12-10 03:27:40+00:00,junkdrawer111,"A blockchain is a decentralized, digital ledger that records transactions on multiple computers. These transactions are secured through cryptography and added to the ledger in blocks, creating a chain of blocks (hence the name ""blockchain""). Very difficult to alter the ledger."
2022-12-10 03:17:54+00:00,DeYongPep,"When it comes to payment with digital assets, irrespective of wallets that users use, #Utrust remains the favorite of all.

It's dashboard is so super simple to navigate and be done with transactions in a jiffy.

Get onboard Utrust now, as #Xmoney is being cooked at the moment. https://t.co/KAY3mOwRjw"
2022-12-10 03:12:12+00:00,LolaCoinOrg,"Russia’s Interior Ministry Employs Tool to Identify Crypto Wallet Owners, Track Transactions

The Russian Ministry of Internal Affairs is now using a digital tool allowing officers to link  dig... https://t.co/xqbqdacCPn #Bitcoin #Bitcoin.com #Crypto https://t.co/sDrJUm5tQn"
2022-12-10 02:47:18+00:00,web3lunch,"Blockchain is a distributed, digital ledger that records transactions in a secure and transparent manner. It consists of a network of computers (or nodes) that validate and verify transactions, which are then added to the ledger as blocks of data."
2022-12-10 02:43:15+00:00,somethingpool,"Russia’s Interior Ministry Employs Tool to Identify Crypto Wallet Owners, Track Transactions / The Russian Ministry of Internal Affairs is now using a digital tool allowing officers to link cryptocurrency wallets to their owners. The software also has a feature facilitating the… https://t.co/15adhmrRyL"
2022-12-10 02:15:52+00:00,zeditip,"AI-Powered Digital Mobile Wallet Application❗️
In this digital age having complete control of the way, you make your 💱transactions is vital. 🤩
ONPASSIVE brings you O-Wallet, an exclusive digital mobile wallet.
https://t.co/l6cXvzke0M

#ONPASSIVE #OWallet #earn... https://t.co/7fDC9Bodvw"
2022-12-10 02:07:29+00:00,GITESHDUBAL,@aditya_kondawar Also NO INTEREST will be earned when money parked in wallet. I really am happy that banking system has a alternative. Probably UPI transactions will be chargeable in next phase of digital India.
2022-12-10 02:03:22+00:00,dunn071,"#DunnEvoArt 
Bitcoin is a decentralized digital currency that uses cryptography to secure transactions and control the creation of new units. It was the first cryptocurrency to be created, and it remains the most widely used and valuable cryptocurrency today. https://t.co/x21i0kPCjf"
2022-12-10 01:09:40+00:00,Justint88117236,"@Scattermae777M Until they stop taking cash. Started 2 years ago, we'll only accept full purchase amounts in cash. No change returned. Coin shortage. Uh huh. This was the start of getting everyone used to not using cash, hence hiding transactions, but used to normalize only digital."
2022-12-10 01:04:01+00:00,Scattermae777M,"Democrats want to go to digital currency so they can monitor you &amp; fine you.  ALL small transactions - Garage sales (even though you already paid for it and are taking a  loss, fairs, farm stands, babysitting, small businesses, the maid, car washes - etc.,  Pay in cash u r done."
2022-12-10 01:00:29+00:00,BitcoinPerry,"A decentralized system, of blockchain and hash 
A public ledger of transactions, in a flash 
Untraceable, secure and fast, no need to worry 
A digital currency with no borders, no hurry  (2/4)"
2022-12-10 00:29:13+00:00,xrpadastra,"@flyingfox44 @ctindale @gchahal Like the DXY in concept, but the new currency would not be owned or tied to any national central bank, I’d also add it will like be digital and used first in cross border transactions"
2022-12-10 00:08:02+00:00,onmyneck3212,"Use your Tribal card for offline spending anywhere in the world that accepts a VISA card.  For example, online subscriptions, digital advertising, travel and so on.  You can also easily pay and manage business expenses, including cross-border transactions #JoinTheTribe #Tribal https://t.co/MC9fAQXiYX"
2022-12-09 23:39:12+00:00,following8020,"On January 12, 2017, the CBN issued a statement stating that digital currencies such as bitcoin, Litecoin and others are used in terrorism financing, and money laundering given the anonymity of virtual transactions"
2022-12-09 23:38:08+00:00,zeditip,"AI-Powered Digital Mobile Wallet Application❗️
In this digital age having complete control of the way, you make your 💱transactions is vital. 🤩
ONPASSIVE brings you O-Wallet, an exclusive digital mobile wallet.
https://t.co/l6cXvzke0M

#ONPASSIVE #OWallet #earn... https://t.co/6NTVieyyV0"
2022-12-09 23:22:36+00:00,daily_venture,"Ecobank Group’s digital transactions hit $59.1 billion in 9 months
https://t.co/JqTu8eczly"
2022-12-09 23:11:36+00:00,bacononfork,"Cryptocurrency broker Digital Surge goes into administration, as the FTX fallout continues https://t.co/HVntWVzTjH Kiss your money goodbye. Unregulated, transaction records not kept in central database, high cost of transactions. Enjoy your fresh bought poverty. lol"
2022-12-09 23:00:08+00:00,swiftprotocol,"Decentralized e-commerce platforms like Swift use #blockchain to enable peer-to-peer transactions without the need for a central authority.

Sellers can list their products directly onto their own contracts, and buyers can purchase them directly with digital currency."
2022-12-09 22:52:33+00:00,Free2022Speech,@WhiteHouse Except for anyone with transactions over $600 on digital payment apps 🤣
2022-12-09 22:46:26+00:00,pfedprog,"but large, hyperscale cloud data centers have steadily increased their energy usage. Filecoin storage has the potential to be more energy-efficient, and to reduce its carbon footprint, while still meeting the growing demand for digital transactions."
2022-12-09 22:40:34+00:00,jon_oxmam,@JadedSeer2 @rythmpod @SimbaSana The digital age is the perfect age for predators to flourish. Humans were better off being grounded in a physical reality with physical transactions
2022-12-09 22:32:22+00:00,IQ2US,"Does America Need A Digital Dollar?

Those who argue “no”, point to the risks of failure, hacking, and privacy breaches, which includes widespread government tracking of transactions, and could allow for unprecedented federal access to personal bank accounts. https://t.co/c3GVPMwyAT"
2022-12-09 22:19:49+00:00,RriggerM,"@105artillery That’s a risk, but in reality we already have that. My license is a Real ID that was issued by the govt. They already have that info. Digital transactions are already tracked, taxes taken out, banks notified. You could try to live cash only, but write a check and it’s digitized."
2022-12-09 22:18:34+00:00,Digital_Nash,The pending transactions are confusing
2022-12-09 21:51:07+00:00,105artillery,"@RriggerM Agree with most of that again...  We already suspend most of our $$ transactions in 1s and 0s already.  In fact I don't believe we have enough paper cash to cover what exists digitally (could be wrong).

The control aspect.  We don't like your carbon usage we lock your digital $$"
2022-12-09 21:47:13+00:00,RriggerM,@105artillery Digital dollar. I think digital currency is inevitable. Most transactions I make now don’t involve physical cash. I’m not talking Bitcoin. Having a hybrid of digital tied to physical currency would help to simplify payments. Checks are outdated. Digital currency is more efficient
2022-12-09 21:38:31+00:00,Cassyokwy,"My good friend @benjaminjwhitby, #Crypto is important &amp; it is not going away!

Through cryptocurrency, transactions are fast, digital, #secure &amp; worldwide, which in essence allow the maintenance of records without risk of data being pirated. Fraud is, actually, minimized. https://t.co/nE8ZbiBfer"
2022-12-09 21:11:02+00:00,bigtechthisweek,"By 2023, the Nigerian government will start taxing crypto transactions and other digital assets if the proposed financial bill is passed into law. https://t.co/f7hGc87DD8"
2022-12-09 21:00:03+00:00,BATAL_P,"The Central Bank Of China central has officially announced that all transactions of crypto-currencies are illegal, effectively banning digital tokens such as Bitcoin. https://t.co/Rax4DHbeQB"
2022-12-09 20:35:07+00:00,QRSTUVVVXYZ,"Also transactions in the databases at your bank

the most recent transaction at your bank reflects on you physically, digital connections &amp; the +1 number

10.00 12.00 12.34 in the US bc of the +1 associated with your phone number

52.00 52.34 in Mexico, phones utilizing the +52"
2022-12-09 20:30:27+00:00,SavyCapitalism,"Proof-of-work works.

Proof-of-stake works.

As long as transactions are getting validated and nodes work together, crypto works."
2022-12-09 20:26:02+00:00,sandbox100,@liz_churchill7 @NewsNancy9 You know that’s most likely impossible to do right. On the other hand most all transactions of money right now are digital. Very little is 💵
2022-12-09 20:25:01+00:00,KylIlIlIIllIl,@JamesPower91 @winthisjawn @DeItaone The next business model is digital asset ownership. Imagine if you could catch a Pokemon then sell that NFT Pokemon on the marketplace for Eth then offramp USD to your bank. Layer 2 decreases gas fees to pennies per transaction. Now scale that to millions of transactions..
2022-12-09 20:13:39+00:00,CryptoMediaHQ,"👉Nigeria bans ATM cash withdrawals over $225 a week to force the use of CBDC👈

The limits set by the Central Bank of Nigeria are part of a broader push to encourage digital financial transactions

🚨the beginning of a perfect example of what banks will do in the future🚨"
2022-12-09 20:02:41+00:00,zeditip,"AI-Powered Digital Mobile Wallet Application❗️
In this digital age having complete control of the way, you make your 💱transactions is vital. 🤩
ONPASSIVE brings you O-Wallet, an exclusive digital mobile wallet.
https://t.co/l6cXvzke0M

#ONPASSIVE #OWallet #earn... https://t.co/hlGtHVRDzW"
2022-12-09 20:00:39+00:00,aztrader4,"@saylor #Bitcoin is a digital slavery, you transactions will be tracked. Wake up."
2022-12-09 19:53:35+00:00,CuriousKairos1,@Mindtrap028 Nearly every nation is working creating their own Central Bank Digital Currency (CBDC). BTC won’t play a role because it’s too slow and transactions are too expensive. It’s the dial-up version of cryptocurrency.
2022-12-09 19:47:30+00:00,M13Company,We're also excited by the power of #blockchain technology to provide verification and transparency in order to facilitate trust and faster transactions. The digital marketplace enables a frictionless experience for seasoned collectors and new participants alike ⚡️
2022-12-09 19:45:07+00:00,0xBuildingBlock,"A blockchain is a decentralized, digital ledger that records transactions on a network of computers. It is called a ""blockchain"" because it is made up of a series of blocks, each of which contains a record of multiple transactions."
2022-12-09 19:15:11+00:00,CollecteursX,"Blockchain technology can be used to verify the authenticity and ownership of digital art.

This is because blockchain is a #decentralized and transparent ledger that can be used to record transactions securely and permanently."
2022-12-09 19:02:03+00:00,kaustubh_643,"Other points: 

Considering that physical cash does not carry any interest, it would be more logical to offer non-interest bearing CBDCs.

Anonymity for a digital currency particularly represents a challenge, as all digital transactions would leave some trail. https://t.co/8QbQitKBe6"
2022-12-09 19:00:00+00:00,Rose077777,"Hi
Apps to get you started on crypto
There are simpler apps such as PayPal &amp; Venmo, which manage all digital transactions besides crypto. You don’t get a crypto wallet; the app is holding it for you But you have a limited range of currencies available

Learn More: Popular Science"
2022-12-09 18:58:34+00:00,de_ophired,"Deutschland Jobs Einstellung für :
HR Generalist (w/m/d) - Multitude | DE OPHIRED

Multitude is an international provider of digital financial services, building a financial ecosystem that transcends the hassle of physical banking and complicated financial transactions into …"
2022-12-09 18:52:20+00:00,milesjennings,"11/ Alternatively, because the risks in secondary transactions are often different from primary transactions (eg, wrt information asymmetries), a better approach may be to regulate secondary markets (like the DCEA) and certain sellers, rather than specific digital assets."
2022-12-09 18:50:23+00:00,MarleyAnalytics,"12) a $600 PayPal/Venmo etc transaction today will equal a $300 transaction in 20 years.

A Central Bank Digital Currency, however, will automatically record all of your transactions on a private blockchain for the government.  Sending records of these transactions to the govt..."
2022-12-09 18:36:12+00:00,TP4DigitalAsset,"@mikojava @GumiCryptos I'm building in a highly regulated space-SEC/FINRA regulated. I’ve simply taken what has been battle tested in DeFi integrate TradFi SEC custody to bring cost reduction, faster transactions and better accountability and transparency."
2022-12-09 18:31:06+00:00,FasanaraDigital,"My take on Polkadot is that they were too early and too slow. If their parachains had been functioning in full capacity years ago, people would have forsaken their lack of faith in the economic model in order to enable cross chain transactions. Continued..."
2022-12-09 18:29:53+00:00,urstrulykrishh,@yabhishekhd What's next??are they planning to charge on transactions?? Digital India??
2022-12-09 18:25:39+00:00,JamesWa29628370,@williamnhutton It was a democratic vote by the people. Move on. Financial transactions are digital
2022-12-09 18:18:01+00:00,Kmens5,"A cryptocurrency is any digital or virtual currency that uses encryption to protect transactions.
 Additionaly, cryptocurrencies like #BTC are stored on decentralized blockchains that have no third parties intrusion, unlike CBDCs."
2022-12-09 18:13:38+00:00,stocksnbitcoin,"Bitcoin is decentralized, secure, and global. It allows for fast, borderless transactions &amp; offers a high degree of privacy. It is limited in supply, making it potentially more valuable over time. These features make it well-suited for use as a digital currency and store of value"
2022-12-09 18:05:02+00:00,BracewellLaw,"FINRA appears ready to take a harder line on transactions involving digital currency. 

Learn more in this month’s FINRA Facts and Trends: https://t.co/yjUypRtlsB

#crypto #finra https://t.co/RpN30BKVqE"
2022-12-09 18:00:23+00:00,DustinIronhand,"@Catch_Irishman &lt;1&gt;that third-party payment platforms would only report to the tax agency if a user had more than 200 commercial transactions and made more than $20,000 in payments. But in the new digital age many people were not reporting those transactions as was used as a stop gap method &lt;2&gt;"
2022-12-09 18:00:00+00:00,KforKrypto,"What is EOS?

$EOS .IO is a #blockchain protocol based on the #cryptocurrency EOS. The smart contract platform claims to eliminate transaction fees and also conduct millions of transactions per second.

#Crypto #Finance #Digital https://t.co/0LQ0N8NXk4"
2022-12-09 17:37:02+00:00,pvsmiths,"@charliekirk11 “Customers should be encouraged to use alternative channels (Internet banking, mobile banking apps, USSD, cards/POS, eNaira, etc.) to conduct their banking transactions.” 
NOT digital currency."
2022-12-09 17:23:00+00:00,Jatin_Harjai,"Difference between transactions through: 

UPI &amp; 
Digital Currency 

well explained by @RBI governor. https://t.co/uYJnp1Cwu4"
2022-12-09 17:03:15+00:00,defnigeria,"Following Kenya’s parliament announced plans to amend the Capital Markets (Amendment) Bill 2022 to tax cryptocurrency transactions across all exchanges, Last week, the Nigerian government announced that it will begin taxing cryptocurrency and other digital assets in 2023... https://t.co/yFH5BwPxbr"
2022-12-09 16:57:03+00:00,DTPaymentNews,"Today’s Digital Transactions News: TreviPay’s Rationale for Acquiring Apruve; A Top-of-Wallet Path; Plus Weekly Recap
https://t.co/1wMfPLrRXU #payments #acquisitions #B2Bpayments #commentary #FIs #topofthewallet #consumers #prepaidcards #giftcards https://t.co/i53tRw0z7k"
2022-12-09 16:41:07+00:00,ReggieStradford,A specialty finance firm implemented U.S. Bank Digital Onboarding to monitor and accelerate account openings. Learn how this capability quickly closes investment transactions. https://t.co/M6SY2iSi4O
